1,Enquiry Receipt by Sales,by Sales,Sales,,E,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
2,Enquiry Receipt by Merchant,by Merchant,Merchandising,,E,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
3,Enquiry Resolved by Sales,by Sales,Sales,,E,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,Enquiry Resolved by Merchant,by Merchant,Merchandising,,E,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
5,Design Receipt by Sales,by Sales,Sales,,D,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
6,Design Receipt by Design,by Design,Design,,D,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
7,Design Development,by Design,Design,,D,,3,3,3,3,3,3,3,3,3,3,3,1,1,1
8,Design Submitted,by Sales,Design,,D,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
9,Sampling Receipt by Sales,by Sales ,Sales,,S,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
10,Sample Receipt by Merchant,by Merchant,Merchandising,,S,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
11,Sample Lab Test Submission,by Merchant,Merchandising,,S,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
12,Sample Lab Test Report Receipt,by Merchant,Merchandising,,S,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
13,Sample Fabric Vendor Allocation,by Fabric Sourcing,,Fabric Vendor,S,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
14,Sample Fabric Swatch Receipt,by Fabric Vendor,,Fabric Vendor,S,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
15,Sample Fabric Development,,,Fabric Vendor,,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
16,Sample Fabric Receipt,by Fabric Sourcing,,Fabric Vendor,S,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
17,Sample Garment Vendor Allocation,by Merchant,Merchandising,,S,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1
18,Customer Sample Receipt by Garment Vendor,by Garment Vendor,Merchandising,,S,11,2,2,2,2,2,2,2,2,2,2,2,1,1,1
19,Sample Fabric Receipt by Garment Vendor,,,Garmenting Vendor,,17,2,2,2,2,2,2,2,2,2,2,2,1,1,1
20,Sample Development,by Garment Vendor,,Garmenting Vendor,S,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
21,Sample Receipt by Merchant,by Merchant,Merchandising,,S,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
22,Sample Evaluation by Quality,By Quality,Quality,,S,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
23,Sample Receipt by Sales,by Sales,Sales,,S,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
24,Sample Receipt by B2B Customer,by B2B customer,Sales,,S,,2,2,2,2,2,2,2,2,2,2,2,1,1,1
25,Order Mail Confirmation,by Sales/Merchant,Sales,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
26,Order Receipt by Sales,by Sales,Sales,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
27,Order Receipt by Merchant,by Merchant,Merchandising,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
28,Order PO Receipt,by Sales/Merchant,Sales,,O,,2,2,2,2,1,1,1,1,1,0,0,1,1,1
29,Fabric Bulk Order Form,by Merchant,Merchandising,,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
30,Size-set Submission/Specs Allocation,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
31,"Fabric CAD/BOM, Floating and Costing",by Fabric Sourcing/CAD/IE,,Fabric Vendor,O,30,1,1,1,1,1,1,0,0,0,0,0,1,1,1
32,Fabric Commercial Approval,by Fabric Sourcing/Commercial+C61,,Fabric Vendor,O,,1,1,1,1,1,1,0,0,0,0,0,1,1,1
33,Fabric Vendor Capacity wise Allocation,by Fabric Sourcing,,Fabric Vendor,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
34,Fabric Ordering,by Fabric Sourcing,,Fabric Vendor,O,,1,1,1,1,1,1,0,0,0,0,0,1,1,1
35,Fabric PO,by Fabric Sourcing/Documentation-SPAC,,Fabric Vendor,O,,1,1,1,1,1,0,0,0,0,0,0,1,1,1
36,Lab Dip/Desk Loom/Strike Off Approvals,by Fabric Sourcing,,Fabric Vendor,O,,1,1,1,1,1,0,0,0,0,0,0,1,1,1
37,PSS,by Fabric Sourcing,,Fabric Vendor,O,,20,20,13,10,8,5,4,1,0,0,0,1,1,1
38,FPT,by Fabric Sourcing,,Fabric Vendor,O,,2,2,2,2,2,1,1,1,0,0,0,1,1,1
39,Yardage,by Fabric Sourcing,,Fabric Vendor,O,,14,14,14,14,13,12,10,7,7,3,0,2,1,1
40,Fabric inline inspection,by Fabric Sourcing/Quality,,Fabric Vendor,O,,5,5,5,4,3,2,1,1,0,0,0,1,1,1
41,Fabric midline inspection,by Fabric Sourcing/Quality,,Fabric Vendor,O,,15,15,8,6,5,4,3,2,0,0,0,2,1,1
42,Fabric endline inspection,by Fabric Sourcing/Quality,,Fabric Vendor,O,,10,10,5,5,4,4,3,2,0,0,0,2,1,1
43,Fabric Packing List,by Fabric Sourcing,,Fabric Vendor,O,,10,10,3,2,1,1,1,1,0,0,0,2,1,1
44,Fabric Final Inspection,by Fabric Sourcing/Quality,,Fabric Vendor,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
45,Fabric invoice,by Fabric Sourcing,,Fabric Vendor,O,,0,0,0,0,0,0,0,0,0,0,0,1,1,1
46,Fabric Ex-Mill/Dispatch,by Fabric Sourcing,,Fabric Vendor,O,,1,1,1,0,0,0,0,0,0,0,0,1,1,1
47,Fabric at Warehouse,by Fabric Sourcing,,Fabric Vendor,O,,2,2,1,1,0,0,0,0,0,0,0,1,1,1
48,Fabric I/H at Garment Vendor,by Fabric Sourcing,,Fabric Vendor,O,,2,2,1,1,1,1,1,0,0,0,0,1,1,1
49,"Garment Techpack/BOM, Floating and Costing",by Merchant/IE,Merchandising,,O,28,1,1,1,1,1,1,1,1,0,0,0,1,1,1
50,Patterns & Marker & Consumption,by Merchant/CAD,Merchandising,,O,28,1,1,1,1,1,1,1,1,0,0,0,1,1,1
51,Garment Commercial Approval,by Merchant/Commercial,Merchandising,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
52,Garment Vendor Capacity wise Allocation,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,1,0,0,0,1,1,1
53,Size-assortment,by Sales,Sales,,O,27,40,40,35,30,25,20,15,10,7,0,0,5,5,5
54,Washcare Approvals,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,0,0,0,0,1,1,1
55,Washcare Approvals,by Merchant,,Garmenting Vendor,O,,1,1,1,1,1,1,1,0,0,0,0,1,1,1
56,Barcode Approvals,by Merchant,Merchandising,,O,,1,1,1,1,1,1,1,0,0,0,0,1,1,1
57,Barcode Approvals,by Merchant,,Garmenting Vendor,O,,1,1,1,1,1,1,1,0,0,0,0,1,1,1
58,Sewing Trims I/H,by Merchant,Merchandising,,O,,5,5,5,5,5,4,3,2,0,0,0,2,2,2
59,Sewing Trims I/H,by Merchant,,Garmenting Vendor,O,,5,5,5,5,5,4,3,2,0,0,0,2,2,2
