1,Enquiry Request,E,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by B2B customer/Sales,Sales,C,
2,Enquiry Receipt by Sales,E,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Sales,Sales,C,
3,Enquiry Receipt by Merchandising,E,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,
4,Enquiry Resolved by Merchandising,E,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,Sales
5,Enquiry Resolved by Sales,E,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Sales,Sales,C,Merchandising
6,Design request,D,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by B2B customer/Sales,Sales,C,Design
7,Design Receipt by Sales,D,10,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Sales,Sales,C,Fabric Sourcing
8,Design Receipt by Design,D,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Design,Design,C,Garmenting Vendor
9,Design Development,D,12,3,3,3,3,3,3,3,3,3,3,3,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Design,Design,C,Documentation/SPAC
10,Design Submitted,D,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Sales,Design,C,Quality
11,Sample Request,S,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by B2B customer/Sales,Sales,C,
12,Sampling Receipt by Sales,S,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Sales ,Sales,C,
13,Sample Receipt by Merchandising,S,18,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,
14,Sample Lab Test Submission,S,19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,
15,Sample Lab Test Report Receipt,S,20,2,2,2,2,2,2,2,2,2,2,2,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,
16,Sample Fabric Sourcing Vendor Allocation,S,21,1,1,1,1,1,1,1,1,1,1,1,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Fabric Sourcing,Fabric Sourcing,C,
17,Sample Fabric Sourcing Swatch Receipt,S,22,2,2,2,2,2,2,2,2,2,2,2,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Fabric Sourcing Vendor,Fabric Sourcing,C,
18,Sample Fabric Sourcing Receipt by Merchandising,S,23,2,2,2,2,2,2,2,2,2,2,2,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Fabric Sourcing,Fabric Sourcing,C,
19,Sample Garment Vendor Allocation,S,19,0,0,0,0,0,0,0,0,0,0,0,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,
20,Customer Sample Receipt by Garment Vendor,S,19,2,2,2,2,2,2,2,2,2,2,2,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Garment Vendor,Merchandising,C,
21,Sample Development,S,25,2,2,2,2,2,2,2,2,2,2,2,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Garment Vendor,Garmenting Vendor,C,
22,Sample Receipt by Merchandising,S,29,2,2,2,2,2,2,2,2,2,2,2,1,1,1,#00FF00,#FFFF00,#0000FF,#FFA500,#FF0000,by Merchandising,Merchandising,C,
